1 1 1.00000000
1 2 1.00000000
1 3 0.32182443
1 4 0.11714282
1 5 0.09719712
1 6 0.07793643
1 7 0.08157367
1 8 0.07341289
1 9 0.05933498
1 10 0.07370519
1 11 0.09034270
1 12 0.09662469
1 13 0.07876406
1 14 0.05747885
1 15 0.04790350
1 16 0.04905121
1 17 0.05065942
1 18 0.04903528
1 19 0.04070036
1 20 0.03969671
1 21 0.04263891
1 22 0.03925385
1 23 0.03686591
1 24 0.04008529
1 25 0.06088714
1 26 0.06109970
1 27 0.04747809
1 28 0.04698405
1 29 0.03835856
1 30 0.03080942
1 31 0.03558187
1 32 0.03878435
1 33 0.03232892
1 34 0.02237096
1 35 0.01613055
1 36 0.01189074
1 37 0.00817301
1 38 0.00469517
1 39 0.00609569
1 40 0.00655368
1 41 0.00636889
1 42 0.00635547
1 43 0.00449727
1 44 0.00460318
1 45 0.00452188
1 46 0.00395577
1 47 0.00307890
1 48 0.00317168
1 49 0.00320300
1 50 0.00299440
1 51 0.00364694
1 52 0.00264718
1 53 0.00246760
1 54 0.00237931
1 55 0.00405081
1 56 0.00534892
1 57 0.00388939
1 58 0.00283721
1 59 0.00283681
1 60 0.00266927
1 61 0.00155519
1 62 0.00172682
1 63 0.00285614
1 64 0.00272782
1 65 0.00274509
2 2 1.00000000
2 3 0.74975534
2 4 0.20330884
2 5 0.14386702
2 6 0.10492438
2 7 0.09995618
2 8 0.10503695
2 9 0.10003012
2 10 0.10844241
2 11 0.12390866
2 12 0.13710084
2 13 0.11121680
2 14 0.06931931
2 15 0.05730874
2 16 0.05818814
2 17 0.05552573
2 18 0.05986748
2 19 0.05623603
2 20 0.04751317
2 21 0.04650520
2 22 0.04419431
2 23 0.04358510
2 24 0.04904511
2 25 0.07740950
2 26 0.08727116
2 27 0.06711444
2 28 0.05128042
2 29 0.04019597
2 30 0.03669817
2 31 0.03904130
2 32 0.04676981
2 33 0.04174510
2 34 0.02476300
2 35 0.01614127
2 36 0.01199520
2 37 0.00836694
2 38 0.00552732
2 39 0.00556193
2 40 0.00554062
2 41 0.00593792
2 42 0.00561036
2 43 0.00476508
2 44 0.00592607
2 45 0.00520674
2 46 0.00404243
2 47 0.00335919
2 48 0.00306330
2 49 0.00298686
2 50 0.00248997
2 51 0.00326747
2 52 0.00359299
2 53 0.00388621
2 54 0.00305960
2 55 0.00391586
2 56 0.00470768
2 57 0.00313539
2 58 0.00233894
2 59 0.00294050
2 60 0.00285139
2 61 0.00154130
2 62 0.00203897
2 63 0.00271716
2 64 0.00232981
2 65 0.00299289
3 3 1.00000000
3 4 0.81969005
3 5 0.35975082
3 6 0.21690645
3 7 0.18175256
3 8 0.18623282
3 9 0.18579936
3 10 0.18665772
3 11 0.19987915
3 12 0.20428520
3 13 0.15223296
3 14 0.08926061
3 15 0.07451078
3 16 0.07531082
3 17 0.07157916
3 18 0.07868036
3 19 0.07845271
3 20 0.06608207
3 21 0.05858413
3 22 0.05660581
3 23 0.05333804
3 24 0.06506057
3 25 0.10210932
3 26 0.11610695
3 27 0.09430723
3 28 0.06502179
3 29 0.04708392
3 30 0.04404265
3 31 0.04654382
3 32 0.05912971
3 33 0.05500773
3 34 0.03008110
3 35 0.01717128
3 36 0.01429041
3 37 0.00935948
3 38 0.00631224
3 39 0.00583044
